,Name,Cusines,Dining_style,Phone number,Website,Location,Payment Options
0,"
Rangrez Indian Restaurant & Bar
",Indian,Casual Dining,+44 20 8563 7176,http://www.rangrez.co.uk/,"
32 Fulham Palace Road, London, W6 9PH
","AMEX, Mastercard, Visa"
1,"
The Havelock Tavern
",British,Casual Dining,+44 20 7603 5374,http://www.havelocktavern.com/,"
57 Masbro Road, London, W14 0LS
","AMEX, Mastercard, Visa"
2,"
Arena Restaurant Wembley
",Greek,Casual Dining,+44 20 8902 1898,http://www.arenarestaurant.co.uk/,"
307 Harrow Road, London, HA9 6BD
","AMEX, Diners Club, Mastercard, Visa"
3,"
Augustine Kitchen
",French,Casual Dining,+44 20 7978 7085,http://www.augustine-kitchen.co.uk/,"
63 Battersea Bridge Road, London, SW11 3AU
","AMEX, Mastercard, Visa"
4,"
Cambio de Tercio
",Spanish,Casual Dining,+44 20 7244 8970,http://www.cambiodeterciogroup.co.uk/,"
163 Old Brompton Road, London, SW5 0LJ
","AMEX, Mastercard, Visa"
5,"
Capote y Toros
",Spanish,Casual Dining,+44 20 7373 0567,http://www.cambiodeterciogroup.co.uk/,"
157 Old Brompton Road, London, SW5 0LJ
","AMEX, Mastercard, Visa"
6,"
Tendido Cero
",Spanish,Casual Dining,+44 20 7370 3685,http://www.cambiodeterciogroup.co.uk/,"
174 Old Brompton Road, London, SW5 0BA
","AMEX, Mastercard, Visa"
7,"
Orjowan
",Lebanese,Casual Dining,+44 20 7370 3074,http://www.orjowan.co.uk/,"
6-8 Kenway Road, London, SW5 0RR
","Mastercard, Visa"
8,"
Big Easy Covent Garden
","American, Barbecue, Seafood",Casual Dining,+44 20 4580 1173,http://www.bigeasy.co.uk/,"
12 Maiden Lane Covent Garden, London, WC2E 7NA
","AMEX, Mastercard, Visa"
9,"
Apulia
","Mediterranean, Italian, Pizzeria",Casual Dining,+44 20 7600 8107,http://www.apuliarestaurant.co.uk/,"
50 Long Lane, London, EC1A 9EJ
","AMEX, Mastercard, Visa"
10,"
Iberica Farringdon
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"
89 Turnmill Street, London, EC1M 5QU
","AMEX, Mastercard, Visa"
11,"
Mountain View Restaurant
","Indian, Nepalese",Casual Dining,+44 20 8858 0227,http://mountainviewgreenwich.co.uk/,"
160 Trafalgar Road, London, SE10 9TZ
","AMEX, Mastercard, Visa"
12,"
Aqua Shard
","Contemporary British, British, Cocktail bar",Casual Elegant,+44 20 3011 1256,https://aquashard.co.uk/,"
Level 31, The Shard, London, SE1 9RY
","AMEX, Mastercard, Visa"
13,"
The Fable
","British, European",Casual Elegant,+44 20 7651 4940,http://www.thefablebar.co.uk/,"
52 Holborn Viaduct, London, EC1A 2FD
","AMEX, Mastercard, Visa"
14,"
Pix Notting Hill
",Tapas / Small Plates,Casual Dining,+44 20 7727 6978,http://www.pix-bar.com/nottinghill.html,"
185 Portobello Road, London, W11 2ED
","AMEX, Mastercard, Visa"
15,"
UNI
","Sushi, Japanese, Peruvian",Casual Elegant,+44 20 7730 9267,http://www.restaurantuni.com/,"
The Tophams Hotel 24-32 Ebury Street, London, SW1W 0LU
","AMEX, Mastercard, Visa"
16,"
Harar Restaurant
","Ethiopian, English, Thaï",Casual Dining,+44 20 7735 8915,http://www.hararrestaurant.co.uk/,"
49 South Lambeth Road, London, SW8 1RH
","Mastercard, Visa"
17,"
Fortnum and Mason - St. Pancras Station
",British,Casual Elegant,+44 20 7734 8040,http://www.fortnumandmason.co.uk/,"
St Pancras International Station, London, N1C 4QP
","Mastercard, Visa"
18,"
Siracusa Italian Kitchen
",British,Casual Dining,+44 20 7734 8040,http://www.fortnumandmason.co.uk/,"
High Street, London, TW8 8LF
","AMEX, Mastercard, Visa"
19,"
Manuel's Restaurant and Bar
","Italian, Mediterranean",Casual Dining,+44 20 8670 1843,http://www.manuelsrestaurantandbar.com/,"
129 Gipsy Hill, London, SE19 1QS
","AMEX, Diners Club, JCB, Mastercard, Visa"
20,"
Sushi Cafe
","Japanese, Chinese",Casual Dining,+44 20 7228 7011,http://www.sushicafe.co.uk/,"
555 Battersea Park Road, London, SW11 3BL
","Mastercard, Visa"
21,"
Bloody Bens
","Tapas / Small Plates, Cocktail bar, Distillery",Casual Dining,+44 20 8944 0452,http://www.bloodybens.com/,"
422 Garratt Lane, London, SW18 4HW
","AMEX, Mastercard, Visa"
22,"
Madhu's Heathrow Restaurant
","Indian, Contemporary Indian",Fine Dining,+44 20 8564 3380,http://www.madhusheathrow.com/,"
Madhus at Sheraton Skyline Hotel Bath Road, London, UB3 5BP
","AMEX, Diners Club, Mastercard, Visa"
23,"
Wild Mango in Kent
",Indian,Casual Dining,+44 20 8793 3502,http://www.wildmango.co.uk/,"
243 High Street, London, BR3 1BN
","Mastercard, Visa"
24,"
Great Queen Street
","British, European",Casual Dining,+44 20 7242 0622,http://www.greatqueenstreetrestaurant.com/,"
32 Great Queen Street, London, WC2B 5AA
","Mastercard, Visa"
25,"
Lyle's Restaurant
",British,Casual Dining,+44 20 3011 5911,http://lyleslondon.com/,"
56 Shoreditch High Street, London, E1 6JJ
","AMEX, Mastercard, Visa"
26,"
Social 24
",Contemporary British,Casual Dining,+44 20 7877 7703,http://www.citysociallondon.com/,"
25 Old Broad Street Tower 42, London, EC2N 1HT
","AMEX, Mastercard, Visa"
27,"
Thai Taste Restaurant
",Thaï,Casual Elegant,+44 20 7373 1647,http://www.thaitasterestaurant.co.uk/,"
130 Cromwell Road, London, SW7 4ET
","AMEX, Mastercard, Visa"
28,"
Super Star
",Chinese,Casual Dining,+44 20 7287 3822,http://www.superstarrestaurant.com/,"
17 Lisle street, London, WC2H 7BE
","Mastercard, Visa"
29,"
BEAST
","Steak, Seafood",Casual Elegant,+44 20 7495 1816,http://www.beastrestaurant.co.uk/,"
3 Chapel Place, London, W1G 0BG
","AMEX, Mastercard, Visa"
30,"
The India Gate
","Indian, Nepalese",Casual Dining,+44 20 8699 9345,http://www.theindiagaterestaurant.co.uk/,"
47 London Rd Forrest Hill, London, SE23 3TY
","Mastercard, Visa"
31,"
BOMBAY CHOW
","Chinese, Fusion / Eclectic",Casual Dining,+44 20 8741 0292,http://www.bombaychow.co.uk/,"
220 King Street, London, W6 0RA
","Mastercard, Visa"
