,Unnamed: 0,Name,Cusines,Dining_style,Phone number,Website,Location,Payment Options,website_status
0,0,"
Rangrez Indian Restaurant & Bar
",Indian,Casual Dining,+44 20 8563 7176,http://www.rangrez.co.uk/,"
32 Fulham Palace Road, London, W6 9PH
","AMEX, Mastercard, Visa",False
1,1,"
The Havelock Tavern
",British,Casual Dining,+44 20 7603 5374,http://www.havelocktavern.com/,"
57 Masbro Road, London, W14 0LS
","AMEX, Mastercard, Visa",True
2,2,"
Arena Restaurant Wembley
",Greek,Casual Dining,+44 20 8902 1898,http://www.arenarestaurant.co.uk/,"
307 Harrow Road, London, HA9 6BD
","AMEX, Diners Club, Mastercard, Visa",True
3,3,"
Augustine Kitchen
",French,Casual Dining,+44 20 7978 7085,http://www.augustine-kitchen.co.uk/,"
63 Battersea Bridge Road, London, SW11 3AU
","AMEX, Mastercard, Visa",True
4,4,"
Cambio de Tercio
",Spanish,Casual Dining,+44 20 7244 8970,http://www.cambiodeterciogroup.co.uk/,"
163 Old Brompton Road, London, SW5 0LJ
","AMEX, Mastercard, Visa",True
5,5,"
Capote y Toros
",Spanish,Casual Dining,+44 20 7373 0567,http://www.cambiodeterciogroup.co.uk/,"
157 Old Brompton Road, London, SW5 0LJ
","AMEX, Mastercard, Visa",True
6,6,"
Tendido Cero
",Spanish,Casual Dining,+44 20 7370 3685,http://www.cambiodeterciogroup.co.uk/,"
174 Old Brompton Road, London, SW5 0BA
","AMEX, Mastercard, Visa",True
7,7,"
Orjowan
",Lebanese,Casual Dining,+44 20 7370 3074,http://www.orjowan.co.uk/,"
6-8 Kenway Road, London, SW5 0RR
","Mastercard, Visa",True
8,8,"
Big Easy Covent Garden
","American, Barbecue, Seafood",Casual Dining,+44 20 4580 1173,http://www.bigeasy.co.uk/,"
12 Maiden Lane Covent Garden, London, WC2E 7NA
","AMEX, Mastercard, Visa",True
9,9,"
Apulia
","Mediterranean, Italian, Pizzeria",Casual Dining,+44 20 7600 8107,http://www.apuliarestaurant.co.uk/,"
50 Long Lane, London, EC1A 9EJ
","AMEX, Mastercard, Visa",True
10,10,"
Iberica Farringdon
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"
89 Turnmill Street, London, EC1M 5QU
","AMEX, Mastercard, Visa",True
11,11,"
Mountain View Restaurant
","Indian, Nepalese",Casual Dining,+44 20 8858 0227,http://mountainviewgreenwich.co.uk/,"
160 Trafalgar Road, London, SE10 9TZ
","AMEX, Mastercard, Visa",True
