,Unnamed: 0,Name,Cusines,Dining_style,Phone number,Website,Payment Options,Address,City,PostCode,website_status,Online_order,online_order
1,1,"
The Havelock Tavern
",British,Casual Dining,+44 20 7603 5374,http://www.havelocktavern.com/,"AMEX, Mastercard, Visa","
57 Masbro Road", London," W14 0LS
",True,False,False
2,2,"
Arena Restaurant Wembley
",Greek,Casual Dining,+44 20 8902 1898,http://www.arenarestaurant.co.uk/,"AMEX, Diners Club, Mastercard, Visa","
307 Harrow Road", London," HA9 6BD
",True,False,False
4,4,"
Cambio de Tercio
",Spanish,Casual Dining,+44 20 7244 8970,http://www.cambiodeterciogroup.co.uk/,"AMEX, Mastercard, Visa","
163 Old Brompton Road", London," SW5 0LJ
",True,False,False
5,5,"
Capote y Toros
",Spanish,Casual Dining,+44 20 7373 0567,http://www.cambiodeterciogroup.co.uk/,"AMEX, Mastercard, Visa","
157 Old Brompton Road", London," SW5 0LJ
",True,False,False
6,6,"
Tendido Cero
",Spanish,Casual Dining,+44 20 7370 3685,http://www.cambiodeterciogroup.co.uk/,"AMEX, Mastercard, Visa","
174 Old Brompton Road", London," SW5 0BA
",True,False,False
7,7,"
Orjowan
",Lebanese,Casual Dining,+44 20 7370 3074,http://www.orjowan.co.uk/,"Mastercard, Visa","
6-8 Kenway Road", London," SW5 0RR
",True,False,False
8,8,"
Big Easy Covent Garden
","American, Barbecue, Seafood",Casual Dining,+44 20 4580 1173,http://www.bigeasy.co.uk/,"AMEX, Mastercard, Visa","
12 Maiden Lane Covent Garden", London," WC2E 7NA
",True,False,False
9,9,"
Apulia
","Mediterranean, Italian, Pizzeria",Casual Dining,+44 20 7600 8107,http://www.apuliarestaurant.co.uk/,"AMEX, Mastercard, Visa","
50 Long Lane", London," EC1A 9EJ
",True,False,False
10,10,"
Iberica Farringdon
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"AMEX, Mastercard, Visa","
89 Turnmill Street", London," EC1M 5QU
",True,False,False
11,11,"
Mountain View Restaurant
","Indian, Nepalese",Casual Dining,+44 20 8858 0227,http://mountainviewgreenwich.co.uk/,"AMEX, Mastercard, Visa","
160 Trafalgar Road", London," SE10 9TZ
",True,False,False
12,14,"
Pix Notting Hill
",Tapas / Small Plates,Casual Dining,+44 20 7727 6978,http://www.pix-bar.com/nottinghill.html,"AMEX, Mastercard, Visa","
185 Portobello Road", London," W11 2ED
",True,False,False
13,16,"
Harar Restaurant
","Ethiopian, English, Thaï",Casual Dining,+44 20 7735 8915,http://www.hararrestaurant.co.uk/,"Mastercard, Visa","
49 South Lambeth Road", London," SW8 1RH
",True,False,False
14,18,"
Siracusa Italian Kitchen
",British,Casual Dining,+44 20 7734 8040,http://www.fortnumandmason.co.uk/,"AMEX, Mastercard, Visa","
High Street", London," TW8 8LF
",True,False,False
17,21,"
Bloody Bens
","Tapas / Small Plates, Cocktail bar, Distillery",Casual Dining,+44 20 8944 0452,http://www.bloodybens.com/,"AMEX, Mastercard, Visa","
422 Garratt Lane", London," SW18 4HW
",True,False,False
18,23,"
Wild Mango in Kent
",Indian,Casual Dining,+44 20 8793 3502,http://www.wildmango.co.uk/,"Mastercard, Visa","
243 High Street", London," BR3 1BN
",True,False,False
