,Unnamed: 0,Name,Cusines,Dining_style,Phone number,Website,Location,Payment Options,website_status
0,0,"
Rangrez Indian Restaurant & Bar
",Indian,Casual Dining,+44 20 8563 7176,http://www.rangrez.co.uk/,"
32 Fulham Palace Road, London, W6 9PH
","AMEX, Mastercard, Visa",False
19,24,"
Great Queen Street
","British, European",Casual Dining,+44 20 7242 0622,http://www.greatqueenstreetrestaurant.com/,"
32 Great Queen Street, London, WC2B 5AA
","Mastercard, Visa",False
67,90,"
Bar Restaurant 48
","Eritrean, Ethiopian, Tapas / Small Plates",Casual Dining,+44 7940 785579,http://www.bar48london.com/,"
48 Brixton Road, London, SW9 6BT
","AMEX, Mastercard, Visa",False
81,111,"
Masala Kitchen
",Indian,Casual Dining,+44 20 8870 2468,http://themasalakitchen.com/,"
103 East Hill, London, SW18 2QB
","AMEX, Mastercard, Visa",False
99,140,"
Indian Curry House Village Masaleh
","Indian, Pizzeria",Casual Dining,+44 20 8674 3388,http://www.lacasadegliamici.com/,"
196 Norwood Road Tulse Hill, London, SE27 9AU
","Mastercard, Visa",False
102,143,"
La Barrique
","Pizza Bar, Wine Bar",Casual Dining,+44 20 7474 8042,http://www.labarrique.co.uk/,"
Warehouse K Western Gateway, London, E16 1DR
","AMEX, Discover, Mastercard, Visa",False
108,153,"
Ludlow's
","Mediterranean, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7228 8840,http://ludlowsbarestaurant.com/,"
15 Battersea Square, London, SW11 3RA
","AMEX, Mastercard, Visa",False
109,154,"
Belgo Centraal
","Belgian, European",Casual Dining,+44 20 7813 2233,http://www.belgo.com/restaurant/centraal/,"
50 Earlham Street, London, WC2H 9LA
","AMEX, Diners Club, Mastercard, Visa",False
114,166,"
Cochin - Finchley Central
",Indian,Casual Dining,+44 20 8346 1685,http://www.cochinrestaurant.co.uk/,"
54 Ballards Lane, London, N3 2BU
","Mastercard, Visa",False
119,172,"
The Royal Oak
","Gastro Pub, British",Casual Dining,+44 20 8527 2022,http://royaloakhighamspark.co.uk/,"
320 Hale End Road, London, IG8 9LN
","Mastercard, Visa",False
